image_id,image_path,detections,max_confidence,avg_confidence
1085.0,data\processed\images_all\1085.0.jpg,0,0.0,0.0
1086.0,data\processed\images_all\1086.0.jpg,0,0.0,0.0
1087.0,data\processed\images_all\1087.0.jpg,0,0.0,0.0
1088.0,data\processed\images_all\1088.0.jpg,0,0.0,0.0
1089.0,data\processed\images_all\1089.0.jpg,0,0.0,0.0
109.0,data\processed\images_all\109.0.jpg,0,0.0,0.0
1090.0,data\processed\images_all\1090.0.jpg,0,0.0,0.0
1091.0,data\processed\images_all\1091.0.jpg,0,0.0,0.0
1092.0,data\processed\images_all\1092.0.jpg,0,0.0,0.0
1093.0,data\processed\images_all\1093.0.jpg,0,0.0,0.0
1094.0,data\processed\images_all\1094.0.jpg,0,0.0,0.0
1095.0,data\processed\images_all\1095.0.jpg,0,0.0,0.0
1096.0,data\processed\images_all\1096.0.jpg,0,0.0,0.0
1097.0,data\processed\images_all\1097.0.jpg,0,0.0,0.0
1098.0,data\processed\images_all\1098.0.jpg,0,0.0,0.0
1099.0,data\processed\images_all\1099.0.jpg,0,0.0,0.0
11.0,data\processed\images_all\11.0.jpg,0,0.0,0.0
110.0,data\processed\images_all\110.0.jpg,0,0.0,0.0
1100.0,data\processed\images_all\1100.0.jpg,0,0.0,0.0
1101.0,data\processed\images_all\1101.0.jpg,0,0.0,0.0
1102.0,data\processed\images_all\1102.0.jpg,0,0.0,0.0
1103.0,data\processed\images_all\1103.0.jpg,0,0.0,0.0
1104.0,data\processed\images_all\1104.0.jpg,0,0.0,0.0
1105.0,data\processed\images_all\1105.0.jpg,0,0.0,0.0
1106.0,data\processed\images_all\1106.0.jpg,0,0.0,0.0
1107.0,data\processed\images_all\1107.0.jpg,0,0.0,0.0
1108.0,data\processed\images_all\1108.0.jpg,0,0.0,0.0
1109.0,data\processed\images_all\1109.0.jpg,0,0.0,0.0
111.0,data\processed\images_all\111.0.jpg,0,0.0,0.0
1110.0,data\processed\images_all\1110.0.jpg,0,0.0,0.0
1111.0,data\processed\images_all\1111.0.jpg,0,0.0,0.0
1112.0,data\processed\images_all\1112.0.jpg,0,0.0,0.0
1113.0,data\processed\images_all\1113.0.jpg,0,0.0,0.0
1114.0,data\processed\images_all\1114.0.jpg,0,0.0,0.0
1115.0,data\processed\images_all\1115.0.jpg,0,0.0,0.0
1116.0,data\processed\images_all\1116.0.jpg,0,0.0,0.0
1117.0,data\processed\images_all\1117.0.jpg,0,0.0,0.0
1118.0,data\processed\images_all\1118.0.jpg,0,0.0,0.0
1119.0,data\processed\images_all\1119.0.jpg,0,0.0,0.0
112.0,data\processed\images_all\112.0.jpg,0,0.0,0.0
1120.0,data\processed\images_all\1120.0.jpg,0,0.0,0.0
1121.0,data\processed\images_all\1121.0.jpg,0,0.0,0.0
1122.0,data\processed\images_all\1122.0.jpg,0,0.0,0.0
1123.0,data\processed\images_all\1123.0.jpg,0,0.0,0.0
1124.0,data\processed\images_all\1124.0.jpg,0,0.0,0.0
